player_id,salary,season,year,team,salary_cap,team_total_salary,salary_perc,salary_team_rank,salary_team_var,holdout_dummy,sal_cap_perc_increase
kingst01,1000000,1990-91,1990,Chicago Bulls,11871000,10040000,0.099601594,3.5,3.60E+11,0,0.211079372
levincl01,750000,1990-91,1990,Chicago Bulls,11871000,10040000,0.074701195,7,3.60E+11,0,0.211079372
paxsojo01,385000,1990-91,1990,Chicago Bulls,11871000,10040000,0.038346614,11,3.60E+11,0,0.211079372
perduwi01,450000,1990-91,1990,Chicago Bulls,11871000,10040000,0.044820717,9,3.60E+11,0,0.211079372
pippesc01,765000,1990-91,1990,Chicago Bulls,11871000,10040000,0.076195219,6,3.60E+11,0,0.211079372
willisc01,150000,1990-91,1990,Chicago Bulls,11871000,10040000,0.014940239,12,3.60E+11,0,0.211079372
babicmi01,200000,1990-91,1990,Cleveland Cavaliers,11871000,14403000,0.013885996,12,1.08E+12,0,0.211079372
bennewi01,525000,1990-91,1990,Cleveland Cavaliers,11871000,14403000,0.036450739,9.5,1.08E+12,0,0.211079372
brownch01,630000,1990-91,1990,Cleveland Cavaliers,11871000,14403000,0.043740887,7,1.08E+12,0,0.211079372
chievde01,525000,1990-91,1990,Cleveland Cavaliers,11871000,14403000,0.036450739,9.5,1.08E+12,0,0.211079372
daughbr01,1320000,1990-91,1990,Cleveland Cavaliers,11871000,14403000,0.091647573,4,1.08E+12,0,0.211079372
ehlocr01,925000,1990-91,1990,Cleveland Cavaliers,11871000,14403000,0.064222731,6,1.08E+12,0,0.211079372
ferryda01,2640000,1990-91,1990,Cleveland Cavaliers,11871000,14403000,0.183295147,2,1.08E+12,0,0.211079372
jameshe01,75000,1990-91,1990,Cleveland Cavaliers,11871000,14403000,0.005207248,15,1.08E+12,0,0.211079372
kerrst01,548000,1990-91,1990,Cleveland Cavaliers,11871000,14403000,0.038047629,8,1.08E+12,0,0.211079372
mortojo01,350000,1990-91,1990,Cleveland Cavaliers,11871000,14403000,0.024300493,11,1.08E+12,0,0.211079372
nancela01,1260000,1990-91,1990,Cleveland Cavaliers,11871000,14403000,0.087481775,5,1.08E+12,0,0.211079372
paddige01,120000,1990-91,1990,Cleveland Cavaliers,11871000,14403000,0.008331598,13,1.08E+12,0,0.211079372
pricema01,1400000,1990-91,1990,Cleveland Cavaliers,11871000,14403000,0.097201972,3,1.08E+12,0,0.211079372
valenda01,100000,1990-91,1990,Cleveland Cavaliers,11871000,14403000,0.006942998,14,1.08E+12,0,0.211079372
williho01,3785000,1990-91,1990,Cleveland Cavaliers,11871000,14403000,0.262792474,1,1.08E+12,0,0.211079372
alforst01,250000,1990-91,1990,Dallas Mavericks,11871000,11693000,0.021380313,11,3.19E+11,0,0.211079372
blackro01,1650000,1990-91,1990,Dallas Mavericks,11871000,11693000,0.141110066,1,3.19E+11,0,0.211079372
davisbr01,600000,1990-91,1990,Dallas Mavericks,11871000,11693000,0.051312751,10,3.19E+11,0,0.211079372
donalja01,880000,1990-91,1990,Dallas Mavericks,11871000,11693000,0.075258702,7,3.19E+11,0,0.211079372
englial01,1500000,1990-91,1990,Dallas Mavericks,11871000,11693000,0.128281878,4,3.19E+11,0,0.211079372
grandji01,115000,1990-91,1990,Dallas Mavericks,11871000,11693000,0.009834944,13,3.19E+11,0,0.211079372
harpede01,1519000,1990-91,1990,Dallas Mavericks,11871000,11693000,0.129906782,2.5,3.19E+11,0,0.211079372
leverfa01,1519000,1990-91,1990,Dallas Mavericks,11871000,11693000,0.129906782,2.5,3.19E+11,0,0.211079372
mccraro01,985000,1990-91,1990,Dallas Mavericks,11871000,11693000,0.084238433,6,3.19E+11,0,0.211079372
shaskjo01,150000,1990-91,1990,Dallas Mavericks,11871000,11693000,0.012828188,12,3.19E+11,0,0.211079372
tarplro01,765000,1990-91,1990,Dallas Mavericks,11871000,11693000,0.065423758,8,3.19E+11,0,0.211079372
upshake01,30000,1990-91,1990,Dallas Mavericks,11871000,11693000,0.002565638,14,3.19E+11,0,0.211079372
whitera01,730000,1990-91,1990,Dallas Mavericks,11871000,11693000,0.062430514,9,3.19E+11,0,0.211079372
willihe01,1000000,1990-91,1990,Dallas Mavericks,11871000,11693000,0.085521252,5,3.19E+11,0,0.211079372
abdulma02,1660000,1990-91,1990,Denver Nuggets,11871000,10335000,0.160619255,2,3.58E+11,0,0.211079372
adamsmi01,825000,1990-91,1990,Denver Nuggets,11871000,10335000,0.079825835,5,3.58E+11,0,0.211079372
andergr01,1365000,1990-91,1990,Denver Nuggets,11871000,10335000,0.132075472,3,3.58E+11,0,0.211079372
