"player_id","salary","season","year","team","salary_cap","team_total_salary","salary_perc","salary_team_rank","salary_team_var","holdout_dummy","sal_cap_perc_increase","player_year","cpa_one","cpa_two","cpa_three","cpa_four","cpa_five","cpa_six","top_player","top_two_player","top_three_player","starting_five"
"gillke01",1500000,"1990-91",1990,"Charlotte Hornets",11871000,10417000,0.143995392,2,2.54e+11,0,0.211079372,1,1,0,0,0,0,0,0,1,1,1
"gminsmi01",1650000,"1990-91",1990,"Charlotte Hornets",11871000,10417000,0.158394931,1,2.54e+11,0,0.211079372,1,1,0,0,0,0,0,1,1,1,1
"haffnsc01",75000,"1990-91",1990,"Charlotte Hornets",11871000,10417000,0.00719977,13,2.54e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"keysra01",322000,"1990-91",1990,"Charlotte Hornets",11871000,10417000,0.030911011,11,2.54e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"leckner01",485000,"1990-91",1990,"Charlotte Hornets",11871000,10417000,0.04655851,9,2.54e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"newmajo01",1200000,"1990-91",1990,"Charlotte Hornets",11871000,10417000,0.115196314,4,2.54e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,1
"reidjr01",1250000,"1990-91",1990,"Charlotte Hornets",11871000,10417000,0.11999616,3,2.54e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,1,1
"schefst01",200000,"1990-91",1990,"Charlotte Hornets",11871000,10417000,0.019199386,12,2.54e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"tripuke01",1000000,"1990-91",1990,"Charlotte Hornets",11871000,10417000,0.095996928,5,2.54e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,1
"armstbj01",425000,"1990-91",1990,"Chicago Bulls",11871000,10040000,0.042330677,10,3.6e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"cartwbi01",1100000,"1990-91",1990,"Chicago Bulls",11871000,10040000,0.109561753,2,3.6e+11,0,0.211079372,1,1,0,0,0,0,0,0,1,1,1
"grantho01",1000000,"1990-91",1990,"Chicago Bulls",11871000,10040000,0.099601594,3.5,3.6e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,1,1
"hodgecr01",600000,"1990-91",1990,"Chicago Bulls",11871000,10040000,0.059760956,8,3.6e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"hopsode01",915000,"1990-91",1990,"Chicago Bulls",11871000,10040000,0.091135458,5,3.6e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,1
"jordami01",2500000,"1990-91",1990,"Chicago Bulls",11871000,10040000,0.249003984,1,3.6e+11,0,0.211079372,1,1,0,0,0,0,0,1,1,1,1
"kingst01",1000000,"1990-91",1990,"Chicago Bulls",11871000,10040000,0.099601594,3.5,3.6e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,1,1
"levincl01",750000,"1990-91",1990,"Chicago Bulls",11871000,10040000,0.074701195,7,3.6e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"paxsojo01",385000,"1990-91",1990,"Chicago Bulls",11871000,10040000,0.038346614,11,3.6e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"perduwi01",450000,"1990-91",1990,"Chicago Bulls",11871000,10040000,0.044820717,9,3.6e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"pippesc01",765000,"1990-91",1990,"Chicago Bulls",11871000,10040000,0.076195219,6,3.6e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"willisc01",150000,"1990-91",1990,"Chicago Bulls",11871000,10040000,0.014940239,12,3.6e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"babicmi01",200000,"1990-91",1990,"Cleveland Cavaliers",11871000,14403000,0.013885996,12,1.08e+12,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"bennewi01",525000,"1990-91",1990,"Cleveland Cavaliers",11871000,14403000,0.036450739,9.5,1.08e+12,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"brownch01",630000,"1990-91",1990,"Cleveland Cavaliers",11871000,14403000,0.043740887,7,1.08e+12,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"chievde01",525000,"1990-91",1990,"Cleveland Cavaliers",11871000,14403000,0.036450739,9.5,1.08e+12,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"daughbr01",1320000,"1990-91",1990,"Cleveland Cavaliers",11871000,14403000,0.091647573,4,1.08e+12,0,0.211079372,1,1,0,0,0,0,0,0,0,0,1
"ehlocr01",925000,"1990-91",1990,"Cleveland Cavaliers",11871000,14403000,0.064222731,6,1.08e+12,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"ferryda01",2640000,"1990-91",1990,"Cleveland Cavaliers",11871000,14403000,0.183295147,2,1.08e+12,0,0.211079372,1,1,0,0,0,0,0,0,1,1,1
"jameshe01",75000,"1990-91",1990,"Cleveland Cavaliers",11871000,14403000,0.005207248,15,1.08e+12,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"kerrst01",548000,"1990-91",1990,"Cleveland Cavaliers",11871000,14403000,0.038047629,8,1.08e+12,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"mortojo01",350000,"1990-91",1990,"Cleveland Cavaliers",11871000,14403000,0.024300493,11,1.08e+12,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"nancela01",1260000,"1990-91",1990,"Cleveland Cavaliers",11871000,14403000,0.087481775,5,1.08e+12,0,0.211079372,1,1,0,0,0,0,0,0,0,0,1
"paddige01",120000,"1990-91",1990,"Cleveland Cavaliers",11871000,14403000,0.008331598,13,1.08e+12,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"pricema01",1400000,"1990-91",1990,"Cleveland Cavaliers",11871000,14403000,0.097201972,3,1.08e+12,0,0.211079372,1,1,0,0,0,0,0,0,0,1,1
"valenda01",100000,"1990-91",1990,"Cleveland Cavaliers",11871000,14403000,0.006942998,14,1.08e+12,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"williho01",3785000,"1990-91",1990,"Cleveland Cavaliers",11871000,14403000,0.262792474,1,1.08e+12,0,0.211079372,1,1,0,0,0,0,0,1,1,1,1
"alforst01",250000,"1990-91",1990,"Dallas Mavericks",11871000,11693000,0.021380313,11,3.19e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"blackro01",1650000,"1990-91",1990,"Dallas Mavericks",11871000,11693000,0.141110066,1,3.19e+11,0,0.211079372,1,1,0,0,0,0,0,1,1,1,1
"davisbr01",600000,"1990-91",1990,"Dallas Mavericks",11871000,11693000,0.051312751,10,3.19e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"donalja01",880000,"1990-91",1990,"Dallas Mavericks",11871000,11693000,0.075258702,7,3.19e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"englial01",1500000,"1990-91",1990,"Dallas Mavericks",11871000,11693000,0.128281878,4,3.19e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,1
"grandji01",115000,"1990-91",1990,"Dallas Mavericks",11871000,11693000,0.009834944,13,3.19e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"harpede01",1519000,"1990-91",1990,"Dallas Mavericks",11871000,11693000,0.129906782,2.5,3.19e+11,0,0.211079372,1,1,0,0,0,0,0,0,1,1,1
"leverfa01",1519000,"1990-91",1990,"Dallas Mavericks",11871000,11693000,0.129906782,2.5,3.19e+11,0,0.211079372,1,1,0,0,0,0,0,0,1,1,1
